Error: PDF version C.7 -- xpdf supports version 1.7 (continuing anyway)
Error: PDF file is damaged - attempting to reconstruct xref table...
Error (186): Dictionary key must be a name object
Error (187): Illegal character ')'
Error (187): Dictionary key must be a name object
Error (190): Dictionary key must be a name object
Error (193): Dictionary key must be a name object
Error (204): Dictionary key must be a name object
Error (219): Illegal character '>'
Error (221): Dictionary key must be a name object
Error (224): Dictionary key must be a name object
Error (232): Dictionary key must be a name object
Error (399): Dictionary key must be a name object
Error (426): Dictionary key must be a name object
Error (436): Illegal digit in hex char in name
Error (463): Dictionary key must be a name object
Error (616): Dictionary key must be a name object
Error (630): Dictionary key must be a name object
Error (634): Dictionary key must be a name object
Error (637): Dictionary key must be a name object
Error (647): Dictionary key must be a name object
Error (660): Dictionary key must be a name object
Error (664): Dictionary key must be a name object
Error (683): Dictionary key must be a name object
Error (687): Dictionary key must be a name object
Error (706): Dictionary key must be a name object
Error (733): Dictionary key must be a name object
Error (743): Illegal digit in hex char in name
Error (768): Dictionary key must be a name object
Error (788): Dictionary key must be a name object
Error (795): Dictionary key must be a name object
Error (804): Dictionary key must be a name object
Error (810): Illegal character ')'
Error (810): Dictionary key must be a name object
Error (818): Dictionary key must be a name object
Error (824): Dictionary key must be a name object
Error (832): Dictionary key must be a name object
Error (844): Dictionary key must be a name object
Error (846): Dictionary key must be a name object
Error (858): Dictionary key must be a name object
Error (864): Dictionary key must be a name object
Error (866): Dictionary key must be a name object
Error (875): Dictionary key must be a name object
Error (878): Dictionary key must be a name object
Error (886): Dictionary key must be a name object
Error (911): Dictionary key must be a name object
Error (919): Dictionary key must be a name object
Error (946): Dictionary key must be a name object
Error (1018): Illegal character '>'
Error (1081): Illegal digit in hex char in name
Error (1097): Illegal digit in hex char in name
Error (1108): Illegal digit in hex char in name
Error (1164): Dictionary key must be a name object
Error (1191): Dictionary key must be a name object
Error (1201): Illegal digit in hex char in name
Error (1228): Dictionary key must be a name object
Error (1292): Dictionary key must be a name object
Error (1381): Dictionary key must be a name object
Error (1397): Dictionary key must be a name object
Error (1405): Dictionary key must be a name object
Error (660): Dictionary key must be a name object
Error (664): Dictionary key must be a name object
Error (683): Dictionary key must be a name object
Error (687): Dictionary key must be a name object
Error (706): Dictionary key must be a name object
Error (733): Dictionary key must be a name object
Error (743): Illegal digit in hex char in name
Error (768): Dictionary key must be a name object
Error (788): Dictionary key must be a name object
Error (795): Dictionary key must be a name object
Error (804): Dictionary key must be a name object
Error (810): Illegal character ')'
Error (810): Dictionary key must be a name object
Error (818): Dictionary key must be a name object
Error (824): Dictionary key must be a name object
Error (832): Dictionary key must be a name object
Error (844): Dictionary key must be a name object
Error (846): Dictionary key must be a name object
Error (858): Dictionary key must be a name object
Error (864): Dictionary key must be a name object
Error (866): Dictionary key must be a name object
Error (875): Dictionary key must be a name object
Error (878): Dictionary key must be a name object
Error (886): Dictionary key must be a name object
Error (911): Dictionary key must be a name object
Error (919): Dictionary key must be a name object
Error (946): Dictionary key must be a name object
Error: Kid object (page 1) is wrong type (stream)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (name)
Error (1651): Missing 'endstream'
Error: Kid object (page 1) is wrong type (stream)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (name)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (name)
Error: Kid object (page 1) is wrong type (name)
Error (68): Dictionary key must be a name object
Error (70): Dictionary key must be a name object
Error (74): Dictionary key must be a name object
Error (77): Dictionary key must be a name object
Error (78): Dictionary key must be a name object
Error (85): Dictionary key must be a name object
Error (117): Dictionary key must be a name object
Error (120): Dictionary key must be a name object
Error (130): Dictionary key must be a name object
Error (133): Dictionary key must be a name object
Error (135): Dictionary key must be a name object
Error (137): Dictionary key must be a name object
Error (139): Dictionary key must be a name object
Error (156): Dictionary key must be a name object
Error (180): Dictionary key must be a name object
Error (186): Dictionary key must be a name object
Error (187): Illegal character ')'
Error (187): Dictionary key must be a name object
Error (190): Dictionary key must be a name object
Error (193): Dictionary key must be a name object
Error (204): Dictionary key must be a name object
Error (219): Illegal character '>'
Error (221): Dictionary key must be a name object
Error (224): Dictionary key must be a name object
Error (232): Dictionary key must be a name object
Error (399): Dictionary key must be a name object
Error (426): Dictionary key must be a name object
Error (436): Illegal digit in hex char in name
Error (463): Dictionary key must be a name object
Error (616): Dictionary key must be a name object
Error (630): Dictionary key must be a name object
Error (634): Dictionary key must be a name object
Error (637): Dictionary key must be a name object
Error (647): Dictionary key must be a name object
Error (660): Dictionary key must be a name object
Error (664): Dictionary key must be a name object
Error (683): Dictionary key must be a name object
Error (687): Dictionary key must be a name object
Error (706): Dictionary key must be a name object
Error (733): Dictionary key must be a name object
Error (743): Illegal digit in hex char in name
Error (768): Dictionary key must be a name object
Error (788): Dictionary key must be a name object
Error (795): Dictionary key must be a name object
Error (804): Dictionary key must be a name object
Error (810): Illegal character ')'
Error (810): Dictionary key must be a name object
Error (818): Dictionary key must be a name object
Error (824): Dictionary key must be a name object
Error (832): Dictionary key must be a name object
Error (844): Dictionary key must be a name object
Error (846): Dictionary key must be a name object
Error (858): Dictionary key must be a name object
Error (864): Dictionary key must be a name object
Error (866): Dictionary key must be a name object
Error (875): Dictionary key must be a name object
Error (878): Dictionary key must be a name object
Error (886): Dictionary key must be a name object
Error (911): Dictionary key must be a name object
Error (919): Dictionary key must be a name object
Error (946): Dictionary key must be a name object
Error (1018): Illegal character '>'
Error (1081): Illegal digit in hex char in name
Error (1097): Illegal digit in hex char in name
Error (1108): Illegal digit in hex char in name
Error (1164): Dictionary key must be a name object
Error (1191): Dictionary key must be a name object
Error (1201): Illegal digit in hex char in name
Error (1228): Dictionary key must be a name object
Error (1292): Dictionary key must be a name object
Error (1381): Dictionary key must be a name object
Error (1397): Dictionary key must be a name object
Error (1405): Dictionary key must be a name object
Error: Loop in Pages tree
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (name)
Error: Loop in Pages tree
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (name)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (name)
Error: Kid object (page 1) is wrong type (name)
Error: Loop in Pages tree
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (name)
Error: Kid object (page 1) is wrong type (name)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 1) is wrong type (integer)
Error: Kid object (page 1) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (stream)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (null)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (error)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (name)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 2) is wrong type (name)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (integer)
Error: Kid object (page 2) is wrong type (cmd)
Error: Kid object (page 3) is wrong type (cmd)
Error: Kid object (page 3) is wrong type (integer)
Error: Kid object (page 3) is wrong type (integer)
Error: Kid object (page 3) is wrong type (cmd)
Error: Kid object (page 3) is wrong type (integer)
Error: Kid object (page 3) is wrong type (integer)
Error: Kid object (page 3) is wrong type (cmd)
Error: Loop in Pages tree
Error: Kid object (page 4) is wrong type (cmd)
Error: Kid object (page 4) is wrong type (cmd)
Error: Kid object (page 4) is wrong type (integer)
Error: Kid object (page 4) is wrong type (name)
Error: Kid object (page 4) is wrong type (name)
Error: Kid object (page 4) is wrong type (cmd)
Error: Kid object (page 4) is wrong type (integer)
Error: Kid object (page 4) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (stream)
Error: Kid object (page 5) is wrong type (cmd)
Error: Loop in Pages tree
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (error)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (name)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 5) is wrong type (name)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (integer)
Error: Kid object (page 5) is wrong type (cmd)
Error: Kid object (page 6) is wrong type (cmd)
Error: Kid object (page 6) is wrong type (integer)
Error: Kid object (page 6) is wrong type (integer)
Error: Kid object (page 6) is wrong type (cmd)
Error: Kid object (page 6) is wrong type (integer)
Error: Kid object (page 6) is wrong type (integer)
Error: Kid object (page 6) is wrong type (cmd)
Error: Loop in Pages tree
Error: Page count in top-level pages object is incorrect
Error: font resource is not a dictionary
Error (1651): Missing 'endstream'
Error (1609): Inline image dictionary key must be a name object
Error (1613): Inline image dictionary key must be a name object
Error (1616): Inline image dictionary key must be a name object
Error (1638): Inline image dictionary key must be a name object
Error (1642): Inline image dictionary key must be a name object
Error (1644): Inline image dictionary key must be a name object
Error (1651): Inline image dictionary key must be a name object
Error (1655): Inline image dictionary key must be a name object
Error (1657): Inline image dictionary key must be a name object
Error (1659): Inline image dictionary key must be a name object
Error (1671): Inline image dictionary key must be a name object
Error (1677): Inline image dictionary key must be a name object
Error (1679): Inline image dictionary key must be a name object
Error (1691): Inline image dictionary key must be a name object
Error (1697): Inline image dictionary key must be a name object
Error (1699): Inline image dictionary key must be a name object
Error (1711): Inline image dictionary key must be a name object
Error (1717): Inline image dictionary key must be a name object
Error (1719): Inline image dictionary key must be a name object
Error (1731): Inline image dictionary key must be a name object
Error (1737): Inline image dictionary key must be a name object
Error (1739): Inline image dictionary key must be a name object
Error (1751): Inline image dictionary key must be a name object
Error (1757): Inline image dictionary key must be a name object
Error (1759): Inline image dictionary key must be a name object
Error (1770): Inline image dictionary key must be a name object
Error (1772): Inline image dictionary key must be a name object
Error (1774): Inline image dictionary key must be a name object
Error (1788): Inline image dictionary key must be a name object
Error (1796): Inline image dictionary key must be a name object
Error (1798): Inline image dictionary key must be a name object
Error (1800): Inline image dictionary key must be a name object
Error (1811): Inline image dictionary key must be a name object
Error (1824): Inline image dictionary key must be a name object
Error (1826): Illegal character '>'
Error (1826): Inline image dictionary key must be a name object
Error: Unterminated string
Error: Bad image parameters
AddressSanitizer:DEADLYSIGNAL
=================================================================
==3528522==ERROR: AddressSanitizer: SEGV on unknown address 0x000000000000 (pc 0x557ee52ded73 bp 0x000000000001 sp 0x7ffd321cfb10 T0)
==3528522==The signal is caused by a READ memory access.
==3528522==Hint: address points to the zero page.
    #0 0x557ee52ded73 in EmbedStream::getChar() /home/phuc/xpdf-3.02-asan/xpdf/Stream.cc:787:15
    #1 0x557ee51b10ac in Gfx::opBeginImage(Object*, int) /home/phuc/xpdf-3.02-asan/xpdf/Gfx.cc:3880:37
    #2 0x557ee51caea9 in Gfx::go(int) /home/phuc/xpdf-3.02-asan/xpdf/Gfx.cc:581:7
    #3 0x557ee51ca6b5 in Gfx::display(Object*, int) /home/phuc/xpdf-3.02-asan/xpdf/Gfx.cc:553:3
    #4 0x557ee52ccfec in Page::displaySlice(OutputDev*, double, double, int, int, int, int, int, int, int, int, Catalog*, int (*)(void*), void*) /home/phuc/xpdf-3.02-asan/xpdf/Page.cc:317:10
    #5 0x557ee52cc8f2 in Page::display(OutputDev*, double, double, int, int, int, int, Catalog*, int (*)(void*), void*) /home/phuc/xpdf-3.02-asan/xpdf/Page.cc:264:3
    #6 0x557ee52d2c25 in PDFDoc::displayPage(OutputDev*, int, double, double, int, int, int, int, int (*)(void*), void*) /home/phuc/xpdf-3.02-asan/xpdf/PDFDoc.cc:317:27
    #7 0x557ee52d2c25 in PDFDoc::displayPages(OutputDev*, int, int, double, double, int, int, int, int, int (*)(void*), void*) /home/phuc/xpdf-3.02-asan/xpdf/PDFDoc.cc:330:5
    #8 0x557ee5354bb9 in main /home/phuc/xpdf-3.02-asan/xpdf/pdftotext.cc:237:10
    #9 0x704d6022a600 in __libc_start_call_main csu/../sysdeps/nptl/libc_start_call_main.h:59:16
    #10 0x704d6022a717 in __libc_start_main csu/../csu/libc-start.c:360:3
    #11 0x557ee507d704 in _start (/home/phuc/xpdf-3.02-asan/xpdf/pdftotext+0xbe704) (BuildId: c93cffbe5f0d1d16d9bfdb1bdb23163e63e546ec)

==3528522==Register values:
rax = 0x0000000000000000  rbx = 0x00006c8d5f5e04d0  rcx = 0x0000000000000000  rdx = 0x0000000000000001  
rdi = 0x0000000000000000  rsi = 0x0000000000000001  rbp = 0x0000000000000001  rsp = 0x00007ffd321cfb10  
 r8 = 0x0000000000006c7d   r9 = 0x00006c4d5e20d620  r10 = 0x0000000000006d1d  r11 = 0x0000000000000000  
r12 = 0x00006c4d5e517040  r13 = 0x0000557ee5e44fc0  r14 = 0x00000d91abebc09a  r15 = 0x00006d1d5f5e01e0  
AddressSanitizer can not provide additional info.
SUMMARY: AddressSanitizer: SEGV /home/phuc/xpdf-3.02-asan/xpdf/Stream.cc:787:15 in EmbedStream::getChar()
==3528522==ABORTING
